nazwisko,liczba
HNYŁYCIA,5
HOANG THE,5
HOBOROWICZ,5
HOBSZTA,5
HOBZDA,5
HOCANIUK,5
HOCHAJZEL,5
HOCHLEITNER,5
HODGE,5
HODIAK,5
HOEDKE,5
HOENISCH,5
HOFFBAUER,5
HOFFMAŃSKA,5
HOFMAJSTER,5
HOFNER,5
HOFSTÄTTER,5
HOHENDORFF,5
HOHOLIEVA,5
HOHUS,5
HOIANIUK,5
HOIDEM,5
HOIKO,5
HOISHYK,5
HOJDIS,5
HOJDYSZEK,5
HOJN,5
HOJNCA,5
HOKOSZEWSKA,5
HOLABOWSKA,5
HOLASEK,5
HOLCEL,5
HOLDING,5
HOLERZYŃSKA,5
HOLIAKA,5
HOLIAT,5
HOLIUK,5
HOLLETZEK,5
HOLLINGER,5
HOLMQVIST,5
HOLOVINOVA,5
HOLOWACZ,5
HOLUBKA,5
HOLUBKOVA,5
HOLUBYTSKA,5
HOLZHEIMER,5
HOMENTOWSKA,5
HOMER,5
HOMINSKA,5
HOMIS,5
HOMONIUK,5
HOMOŁA,5
HONCHERA,5
HONIEWSKA,5
HONIOK,5
HONNEF,5
HONTASH,5
HONUS,5
HONZATKO,5
HOPANCHUK,5
HOPCROFT,5
HOPEN,5
HOPFINGER,5
HOPKIEWICZ,5
HOPPENHEIT,5
HOPTIJ,5
HORAI,5
HORAIN,5
HORAŃSKA,5
HORCH,5
HORDEI,5
HORDI,5
HORDIK,5
HORDITSA,5
HORDUN,5
HORDYNSKA,5
HORECZA,5
HORHANNISYAN,5
HORIDKO,5
HORIŃSKA,5
HORNOWICZ,5
HORODNA,5
HORODOVA,5
HOROKHIVSKA,5
HOROSZYŃSKA,5
HOROŻYŃSKA,5
HORPYNKO,5
HORULKO,5
HORZENEK,5
HORŁATA,5
HORŻANIECKA,5
HOSANIAK-BENA,5
HOSEDLO,5
HOSEMANN,5
HOSNI,5
HOSOBEK,5
HOSOWICZ,5
HOSTIEVA,5
HOTLAŚ,5
HOTLEWSKA,5
HOUBEN,5
HOUTZAGER,5
HOVOROVA,5
HOVZAN,5
HOWARTH,5
HOWDUN,5
HOWERYNG,5
HOWHANNISYAN,5
HOWZBIT,5
HOXHAJ,5
HOŁDONOWICZ,5
HOŁDYSZ,5
HOŁENKO,5
HOŁOBOTOWSKA,5
HOŁOT,5
HOŁOWNICKA,5
HOŁUBCOW,5
HOŁUSZKO,5
HOŁYNA,5
HOŁYNIEWSKA,5
HOŁÓWKIEWICZ,5
HOŻEK,5
HRABAS,5
HRABCHUK,5
HRABELSKA,5
HRABIK,5
HRABOVYCH,5
HRACHOWINA,5
HRAD,5
HRADOUKINA,5
HRADOVICH,5
HRANOVSKA,5
HRAPEĆ,5
HRAZHDAN,5
HRECHANYK,5
HRECZANY,5
HREHORECKA,5
HRETS,5
HRIAZNOVA,5
HRISHYNA,5
HROBONI,5
HROKH,5
HROMADKO,5
HROMÁDKOVÁ,5
HRONDA,5
HROSHKO,5
HROSU,5
HRUSHCHAK,5
HRUSHEVSKA,5
HRUSHOVETS,5
HRUSZCZOWIEC,5
HRUZDIEVA,5
HRUZYN,5
HRYBOUSKAYA,5
HRYCEJ,5
HRYCHKA,5
HRYNAKOWSKA,5
HRYNDIO,5
HRYNKIEWICZ-MOCZULSKA,5
HRYSHANOVICH,5
HRYSZCZUK,5
HRYSZCZYSZYN,5
HRYTSENIUK,5
HRYTSEVYCH,5
HRYTSKOVA,5
HRYWACZEWSKA,5
HRYZHUK,5
HRYŃKIEWICZ,5
HRZUŚCIEL,5
HUBAREVA,5
HUBLUK,5
HUBOCZYK,5
HUDEMCHUK,5
HUDOMIENT,5
HUGGENBERGER,5
HUI,5
HUIGEN,5
HUKISZ,5
HULIA,5
HULIIEVA,5
HULIMKA,5
HULIUK,5
HULNICKA,5
HULYCH,5
HUMENICKA,5
HUMIŃSKI,5
HUNDIAK,5
HUNG,5
HUNGENDORFER,5
HUNKIEL,5
HUNTH,5
HUNZEK,5
HUO,5
HUPAJŁO,5
HURKOVSKA,5
HURSKAYA,5
HURTADO,5
HUSACZUK,5
HUSER,5
HUSON,5
HUSSE,5
HUSSON,5
HUSY,5
HUSYEVA,5
HUSZCZAK,5
HUSZCZONEK,5
HUSÁK,5
HUTAROVA,5
HUTTEN-CZAPSKA,5
HUZHDA,5
HYBIK,5
HYCHUN,5
HYKAVA,5
HYKIEL,5
HYLBRYK,5
HYLLUS,5
HYMKOWSKA,5
HYNES,5
HYPNAROWSKA,5
HYRJA,5
HYRNY,5
HYTROWSKA,5
HYŁKO,5
HÀ,5
HÄMMERLE,5
HÄMÄLÄINEN,5
HÄNSCH,5
HÖGLUND,5
HÖLSCHER,5
HÜCKMANN,5
HÜGLI,5
HÜLSMANN,5
HÜRTER,5
HÜTHER,5
HŁAWKO,5
HŁUCHYJ,5
HŁUSZANIN,5
HŁYŚCIUK,5
HŰBSCH,5
IABLONSKA,5
IAKYMETS,5
IAKYMIV,5
IANENKO,5
IANKOVA,5
IANYTSKA,5
IBARRA,5
IBERAT,5
IBERSZER,5
IBISHI,5
ICH,5
ICIKOWSKA,5
ICKOWSKA,5
ICKS,5
IDEHEN,5
IDELT,5
IDELZE,5
IDLIN,5
IDRISLI,5
IDZIACZYK,5
IEFYMENKO,5
IERMOLAIEVA,5
IERSHOVA,5
IGANOWICZ,5
IGE,5
IGLINIEC,5
IGNATÓW,5
IGNER,5
IGNERA,5
IGNICKA,5
IHEKWOABA,5
IHENACHO,5
IHNATSIUK,5
IKE,5
IKHLEF,5
ILASIEWICZ,5
ILCIÓW,5
ILIASZEWSKA,5
ILIEVSKA,5
ILIKA,5
ILISZKO,5
ILIUSHYNA,5
ILLAS,5
ILLES,5
ILLIENKO,5
ILLNER,5
ILOW,5
ILYUK,5
IMANOWICZ,5
IMBIERCZYK,5
IMENYNNYK,5
IMIOŁOWSKA,5
IMSZENNIK,5
INAM,5
INDERNALIK,5
INDRASZKIEWICZ,5
INDRYSZCZAK,5
INFANTE,5
INFOROWICZ,5
INGLIS,5
INGLOWSKA,5
INKIELMAN,5
INNES,5
IONESI,5
IORDACHESCU,5
IORDANOVA,5
IOVINE,5
IPPOHORSKA-LENKIEWICZ,5
IRFAN,5
IRMIŃSKA,5
IRONS,5
IRRGANG,5
IRSA,5
IRZIK,5
ISAIACZ,5
ISAJENKO,5
ISELE,5
ISERT,5
ISICHENKO,5
ISMAEL,5
ISMAIL-ZADE,5
ISMONOWICZ,5
ISRANI,5
ISSLER,5
ISTYGNIEJEW,5
ISUPKHADZHIEVA,5
ISZCZUKIEWICZ,5
ITANI,5
ITAZOVA,5
ITKOWSKA,5
ITTNER,5
ITZHAKI,5
IUNUSOVA,5
IURCHAK,5
IURCO,5
IURKEVYCH,5
IURKIVSKA,5
IURKOVSKA,5
IVAKHA,5
IVANCHYK,5
IVANECHKO,5
IVANEIKO,5
IVANISHCHUK,5
IVANKOVIĆ,5
IVANOVSKAYA,5
IVANYCHKO,5
IVANYTSIA,5
IVASIUTYN,5
IVIĆ,5
IVKOVIĆ,5
IWANETZKI,5
IWANICH,5
IWANICHA,5
IWANICZEK,5
IWANNEK,5
IWANSKA,5
IWASAKI,5
IWASZENKO,5
IWATA,5
IWELSKA,5
IWKIEWICZ,5
IZDEBNY,5
IZHAKIVSKA,5
IZHEVSKA,5
IZHYTSKA,5
IZMAN,5
IZOCKA,5
IŁYK,5
IŹWICKA,5
IŻAKIEWICZ,5
IŻAKOWSKA,5
IŻELA,5
JABAR,5
JABRI,5
JABŁOCKA,5
JABŁOKOW,5
JABŁOŃSKA VEL DRUŹ,5
JABŁOŃSKA-JASTRZĘBSKA,5
JABŁUKIEWICZ,5
JACHEMEK,5
JACHIŃSKA,5
JACHNIS,5
JACHORSKA,5
JACHUŁKOWSKA,5
JACHWAK,5
JACHWAN,5
JACISZYN,5
JACIUŁ,5
JACOSEK,5
JACUŃ,5
JACYNNIK,5
JADKIEWICZ,5
JADWINCZYN,5
JADŁOSZ,5
JAEKEL,5
JAGALLA,5
JAGIELKI,5
JAGIOŁKA,5
JAGLO,5
JAGNIONTKOWSKA,5
JAGODOWICZ,5
JAGUCZAK,5
JAHNC,5
JAISCZOK,5
JAISI,5
JAJTNER,5
JAKAC,5
JAKIEMCZUK,5
JAKIEMOWICZ,5
JAKIMEC,5
JAKOBICKA,5
JAKOWOGLU,5
JAKSZTOWICZ,5
JAKUBCZYC,5
JAKUBEC,5
JAKUBICZKA,5
JAKUBOZE,5
JAKUBSCHON,5
JALOCHA,5
JAMALI,5
JAMASZEWSKA,5
JAMIAŁKOWSKA,5
JAMMOUL,5
JANAILLAC,5
JANASZKO,5
JANATA,5
JANCULEWICZ,5
JANCZAKOWSKA,5
JANCZELEWSKA,5
JANCZEWSKA VEL ANCZEWSKA,5
JANEBA,5
JANEZKA,5
JANI,5
JANIW,5
JANJIĆ,5
JANKIW,5
JANKOVIC,5
JANOCHOWSKA,5
JANOCKA,5
JANOPULOS,5
JANOSZEWSKA,5
JANSSENS,5
JANTA-LIPINSKA,5
JANUCEWICZ,5
JANYSSEK,5
JANÓSZ,5
JANČO,5
JAORNIK,5
JARCHOW,5
JARCZEWSKI,5
JAREMCZYKOWSKA,5
JAREMICZ,5
JAREMIRSKA,5
JARGALSAIKHAN,5
JARMAŁOWICZ,5
JARMOLONEK,5
JARMOŁ,5
JAROCHIEWICZ,5
JAROSH,5
JAROSIAK,5
JAROSKA,5
JAROSS,5
JAROŠOVÁ,5
JARTYCH,5
JARUSCHOWITZ,5
JARUSIEWICZ,5
JARUSZKO,5
JARUSZOK,5
JARYŃSKA,5
JARZAB,5
JARZNICKA,5
JARZOWY,5
JARZĄBKA,5
JARŁOWIECKA,5
JASIENKIEWICZ,5
JASIEŁOWSKA,5
JASIOSKA,5
JASIULAK,5
JASIÓW,5
JASIŃCZUK,5
JASIŃSKA-KOT,5
JASIŃSKA-NOWAK,5
JASKE,5
JASKIERNIAK,5
JASKOLSKI,5
JASKÓŁECKA,5
JASMANICKA,5
JASNAKOWSKA,5
JASON,5
JASPERS,5
JASTRZĘBSKA-PROKOPOWICZ,5
JASWIG,5
JASZCZOŁD,5
JASZCZUR-NOWICKA,5
JASZCZÓR,5
JASZDEJEWSKA,5
JASZKIE,5
JASZONEK,5
JAUCH,5
JAVORSKÁ,5
JAVUREK,5
JAWECKA,5
JAWORSKA-HOROSZKIEWICZ,5
JAWORZ-DUTKA,5
JAZDZEJEWSKA,5
JAZDZEWSKA,5
JAZEK,5
JAZŁOWIŃSKA,5
JAĆ,5
JAŁGUSZEWSKA,5
JAŁMUŻYŃSKA,5
JAŁOWICZKA,5
JAŚWIŁEK,5
JAŹNIEWICZ,5
JECH,5
JECHMAŃSKA,5
JECK,5
JEDAMUS,5
JEDANOWSKA,5
JEDEJKO,5
JEDYNACKA,5
JEDYNAKIEWICZ,5
JEDZ,5
JEFFREY,5
JEFFRIES,5
JEFIMIEC,5
JEFIMUK,5
JEGIAZARIAN,5
JEGIOŁKA,5
JEKUTSCH,5
JELCZ,5
JELENKIEWICZ,5
JELICZ,5
JELISTRATOW,5
JEMIELEWSKA,5
JENDCZOK,5
JENDE,5
JENDOUBI,5
JENDRAŚKIEWICZ,5
JENDRICKE,5
JENDRUSINA,5
JENDRZYN,5
JENSKO,5
JENSZAK,5
JENTYS,5
JENTZSCH,5
JENZIORSKA,5
JERANEK,5
JERAT,5
JEREMIEJEW,5
JEREMIĆ,5
JEREMOWICZ,5
JEREMSKA,5
JERKOVIĆ,5
JERMOLIŃSKA,5
JEROPULOS,5
JERYŃSKA,5
JERZATEK,5
JERZEMOWSKA,5
JERZO,5
JERZYNOWSKA,5
JERĄCZYK,5
JESIONOWSKI,5
JESIORSKA,5
JESIŃSKA,5
JESTEL,5
JESTRABEK,5
JESZCZENKO,5
JESZEWSKA,5
JEWECZKO,5
JEWIERSKA,5
JEWIUK,5
JEWTIEJEW,5
JEWTUSZIK,5
JEZIERSKA VEL JEŻEWSKA,5
JEZULEWICZ,5
JEZUWID,5
JEŚNIAK,5
JEŻEWSKI,5
JILKE,5
JILLEK,5
JIRATKO,5
JIRGEN,5
JIRÁSKOVÁ,5
JITARU,5
JMAS,5
JOACHIMKOWSKA,5
JOBST,5
JOCHACZY,5
JOCHBERG,5
JODAŃSKA,5
JODLIŃSKA,5
JODŁOSIEWICZ,5
JODŁOWSKI,5
JOKIĆ,5
JOLIVET,5
JONAC,5
JONASZKA,5
JONCZEK,5
JONCZEWSKA,5
JONDROWSKA,5
JONIEWICZ,5
JONIS,5
JONZA,5
JORDANOWA,5
JORDZYŃSKA,5
JORIS,5
JOSEFOWICZ,5
JOSZCZ,5
JOSÉ,5
JOUINI,5
JOZEFIAK,5
JOËL,5
JOŚWIG,5
JUAREZ,5
JUBLEWSKA,5
JUCHEŁKO,5
JUCHOWSKA,5
JUCHYMIUK,5
JUCZ,5
JUCZYŃSKA,5
JUDZIAŁO,5
JUGADT,5
JUHLIN,5
JULC,5
JULIAŃSKA,5
JULIKOWSKA,5
JULINA,5
JULISZEWSKA,5
JUNASZKO,5
JUNEK,5
JUNGNYKEL,5
JUNGRAV,5
JUNIEC,5
JURASKE,5
JURCZAŻAK,5
JURCZUK-ANDRZEJUK,5
JURGIEŁAJTIS,5
JURGIN,5
JURMAN,5
JURNA,5
JURYSZCZAK,5
JUSUFI,5
JUSUPOVIĆ,5
JUSUPOWA,5
JUSZCZAKOWSKA,5
JUSZKIAN,5
JUTRZONKA-TRZEBIATOWSKA,5
JUZAL,5
JUZEFCZYK,5
JUZEFUS,5
JUZIŃSKA,5
JUŚCIK,5
JUŹ,5
JUŻYŃSKA,5
JYSZ,5
JÄGGI,5
JÄÄSKELÄINEN,5
JÓRECKA,5
JÓRGAS,5
JÓSZKIEWICZ,5
JÓSZKOWSKA,5
JÓZACZUK,5
JÓZEFORSKA,5
JÓZEŃKÓW,5
JÓZYSZYN,5
JÓŹKOWIAK,5
JÜNEMANN,5
JĄDRO,5
JĘCZKO,5
JĘDRASZ,5
JĘDRICHOWSKA,5
JĘDRUCKA,5
JĘDRYCKA,5
JĘDRZEJESKA,5
JĘHOREK,5
JĘK,5
JĘNDRUSZCZAK,5
JĘTKOWSKA,5
JŰNGST,5
K.C.,5
KABACZUK,5
KABAKOVA,5
KABATC,5
KABICKA,5
KABULLA,5
KABZIA,5
KACHANOUSKAYA,5
KACHANOVSKA,5
KACHELLEK,5
KACHNY,5
KACHURENKO,5
KACI,5
KACIAŁA,5
KACIERZEWSKA,5
KACPSZAK,5
KACYSZ,5
KACZANOWSKI,5
KACZESZEWSKA,5
KACZIŃSKA,5
KACZMARCZIK,5
KACZMARUK,5
KACZPERSKA,5
KACZYCKA,5
KADAC,5
KADDOURI,5
KADIROVA,5
KADIUK,5
KADLECZEK,5
KADROŃSKA,5
KADY,5
KAESLER,5
KAETHNER,5
KAFCZYK,5
KAFTAL,5
KAGANOWICZ,5
KAGIEL,5
KAHANE,5
KAHLKE,5
KAHLON,5
KAHLWEIHS,5
KAHNER,5
KAHRIMANOVIĆ,5
KAINTOR,5
KAINZ,5
KAISTRA,5
KAIZAR,5
KAJECKA,5
KAJEWSKI,5
KAJMERS,5
KAJNA,5
KAJROWICZ,5
KAJRUNAJTYS,5
KAKHANOUSKAYA,5
KALABINA,5
KALACK,5
KALACZYNSKA,5
KALAFAR,5
KALAGASIDIS,5
KALAMURZA,5
KALAN,5
KALAPUN,5
KALASHNIK,5
KALAYCI,5
KALBRENER,5
KALEJNIK,5
KALENBACH,5
KALENDER,5
KALENIKOVA,5
KALENIN,5
KALGER,5
KALIBA,5
KALINCHYK,5
KALINKE,5
KALINOWSKA-NOWAK,5
KALINSKI,5
KALISZ-FRIEDRICH,5
KALISZEWSKA VEL KIELISZEWSKA,5
KALITYNSKA,5
KALIUTA,5
KALKBRENNER,5
KALLOCH,5
KALNINA,5
KALSNER,5
KALTUR,5
KALU,5
KALUGINA,5
KALUZKA,5
KALYNOVYCH,5
KALYNYAK,5
KAM,5
KAMALOVA,5
KAMBERSKA,5
KAMELCHUK,5
KAMFORSKA,5
KAMICKA,5
KAMIENIEW,5
KAMILSKA,5
KAMINER,5
KAMIŃSKA-GAWOREK,5
KAMIŃSKA-JANIK,5
KAMIŃSKA-WOJCIECHOWSKA,5
KAMKE,5
KAMMERER,5
KAMMONEN,5
KAMPHAUS,5
KAMPHAUSEN,5
KAMPINOWSKA,5
KAMROWSKI,5
KAMYSHAN,5
KAMYSHNA,5
KANACHOWICZ,5
KANACKA,5
KANAEVA,5
KANANI,5
KANAPATSKAYA,5
KANASZYK,5
KANAVALAVA,5
KANCOK,5
KANCURZEWSKA,5
KANDELSZAJN,5
KANDRASHOVA,5
KANDRATOVICH,5
KANER,5
KANIBOLOTSKA,5
KANNER,5
KANONIENKO,5
KANT-ŁUCZYŃSKA,5
KANUŚ,5
KANZLIERSCH,5
KAPACHEL,5
KAPADIA,5
KAPALKA,5
KAPANADZE,5
KAPANOSKA,5
KAPARSKA,5
KAPCZYK,5
KAPELIUSHOK,5
KAPETS,5
KAPEŁKA,5
KAPICZENKO,5
KAPISCHKA,5
KAPITAJNA,5
KAPKOWICZ,5
KAPLIŃSKI,5
KAPRAN,5
KAPUCKA,5
KAPUSTNIK,5
KAPŁUNOW,5
KARABAZA,5
KARABINOWICZ,5
KARABOW,5
KARACAN,5
KARACZYŃSKA,5
KARADŻOW-SZMITKOWSKA,5
KARAER,5
KARAKAI,5
KARAKASHEVA,5
KARAKOSTAS,5
KARALUK,5
KARAMI,5
KARAMITOPULOS,5
KARAMUSHKA,5
KARAN,5
KARANETS,5
KARANIK,5
KARANIKOLA,5
KARANKEVICH,5
KARAPLIOS,5
KARASCH,5
KARASEVA,5
KARASEVICH,5
KARASIOW,5
KARASZEWICZ,5
KARATIEIEVA,5
KARATKIEWICZ,5
KARAYÜNLÜ,5
KARAZEJ,5
KARAŚ-NOWICKA,5
KARBIŃSKA,5
KARCHEUSKAYA,5
KARCZEMNY,5
KARDAHS,5
KARDOS,5
KARDZIALIUK,5
KARHINA,5
KARIEWSKA,5
KARIRA,5
KARIĆ,5
KARKACH,5
KARKOSCHKA,5
KARLE,5
KARMELAK,5
KARMIENKO,5
KARNUSZEWICZ,5
KAROLEWSKI,5
KAROLSKI,5
KAROUI,5
KAROWICZ,5
KAROŃCZYK,5
KARPACH,5
KARPALSKA,5
KARPAN,5
KARPENKA,5
KARPENYUK,5
KARPIESZ,5
KARPILIŃSKA,5
KARPISZEN,5
KARPIŃSKA-PAWLAK,5
KARPMAN,5
KARPUCHYK,5
KARPUTS,5
KARRASCH,5
KARSUNKE,5
KARSZOW,5
KARTACZ,5
KARUBA,5
KARULKOWSKA,5
KARUNA,5
KARYCH,5
KARYMOW,5
KASATY,5
KASAVETS,5
KASCHUBOWSKA,5
KASEA,5
KASEM,5
KASEWSKA,5
KASHCHYSHYN,5
KASHCHYTS,5
KASHEVKO,5
KASHNIKOVA,5
KASHPERSKA,5
KASHPRUK,5
KASHTANOVA,5
KASHYAP,5
KASIANIK,5
KASIEL,5
KASIELA,5
KASIIANCHUK,5
KASIMOVA,5
KASINOWSKA,5
KASIUCHNICZ,5
KASIUŁAJTIS,5
KASMAN,5
KASNOWSKA,5
KASPAROVA,5
KASPERDA,5
KASPEROWICZ-WALIŁKO,5
KASPIERUK,5
KASPRUS,5
KASPRZOK,5
KASPSZAK,5
KASPURA,5
KASSAI,5
KASSENBERG,5
KASSENOVA,5
KASSUBE,5
KASUMI,5
KASZKURSKA,5
KASZLUK,5
KASZOWARA,5
KASZPERUK,5
KASZTOWSKA,5
KASZUBIECKA,5
KATANEKSZA,5
KATARWICKA,5
KATAV,5
KATERWA,5
KATERYNIN,5
KATINAS,5
KATOLLA,5
KATRELIS,5
KATREVYCH,5
KATSEVYCH,5
KATSUBA,5
KATSYNEL,5
KATYCHÓW,5
KATZMAREK,5
KAUBE,5
KAUCZAK,5
KAUDZ,5
KAUFELD,5
KAUKANIEC,5
KAULBARSZ,5
KAUNECKA,5
KAUSZKA,5
KAUTZKA,5
KAUZOWICZ,5
KAVCHAK,5
KAVCI,5
KAVTARADZE,5
KAVUSHEVSKA,5
KAWATYSZYN,5
KAWCZYNSKI,5
KAWER,5
KAWRECKA,5
KAWROW,5
KAWĘCKI,5
KAYALI,5
KAYED,5
KAYMAZ,5
KAYNAK,5
KAZANISZYN,5
KAZARYAN,5
KAZAŁO,5
KAZHARNOVICH,5
KAZIMIROVA,5
KAZLAUSKAITE,5
KAZMIERZ,5
KAZMIN,5
KAZNACHEIEVA,5
KAZYMIR,5
KAZYMYRIV,5
KAÇMAZ,5
KAŁAHUR,5
KAŁAHURKA,5
KAŁAKAJŁO,5
KAŁENDEK,5
KAŁPOWICZ,5
KAŁUSOWSKA,5
KAŁUSZYNER,5
KAŁUZ,5
KAŁUZIŃSKI,5
KAŁYŃCZAK,5
KAŁĘTKOWSKA,5
KAŃCIER,5
KAŃCZYKOWSKA,5
KAŃSKI,5
KAŇOVSKÁ,5
KAŹMIERSKA-RĘBISZ,5
KAŹMIŃSKA,5
KEARNS,5
KEBEDE,5
KECZ,5
KEDROŃ,5
KEDYK,5
KEIJZER,5
KEILING,5
KEJN,5
KELEBERDA,5
KELEMBET,5
KELLENBERGER,5
KELLETT,5
KELMENDI,5
KEMMER,5
KEMPCZYK,5
KEMPFI,5
KEMPIK,5
KEMPNIAK,5
KENDZIERA,5
KENIC,5
KENICER,5
KENIGHAUS,5
KENNEY,5
KENS,5
KENTLA,5
KEPPE,5
KERCZUK,5
KEREKES,5
KERESZTES,5
KERSCHBAUM,5
KERSCHER,5
KERZEL,5
KERZER,5
KESER,5
KESHISHYAN,5
KETLER,5
KETS,5
KETSKO,5
KEYDROWSKA,5
KHABURSKA,5
KHADZHIMURATOVA,5
KHALADOVA,5
KHALETSKA,5
KHALETSKAYA,5
KHALIMONCHUK,5
KHAMETS,5
KHAMULYAK,5
KHAMZAEVA,5
KHANIUKOVA,5
KHANTIL,5
KHAR,5
KHARO,5
KHAROUF,5
KHARUN,5
KHARYK,5
KHARZHEVSKA,5
KHASAEVA,5
KHATER,5
KHATSIANOVICH,5
KHAY,5
KHAYDUKAEVA,5
KHEDIMI,5
KHIDER,5
KHIL,5
KHILCHENKO,5
KHIMICHUK,5
KHIZRIEVA,5
KHLIVNA,5
KHLOPETSKA,5
KHLUS,5
KHMELOVA,5
KHMIALEUSKAYA,5
KHOBTA,5
KHODER,5
KHOMENKOVA,5
KHOPTIAR,5
KHOROSHYLOVA,5
KHRAIS,5
KHRAMTSOVA,5
KHROMEICHUK,5
KHRUPA,5
KHRYPAYEVA,5
KHRYPTA,5
KHUAT,5
KHUDOYAN,5
KHUMALO,5
KHVOROSTOVA,5
KHVOROSTOVSKA,5
KHVOSTYK,5
KHYLIA,5
KHYLYUK,5
KHYZHEVSKA,5
KIBAK,5
KIBETS,5
KIBIS,5
KIBLERSKA,5
KICAJ,5
KICIELIŃSKA,5
KICLAK,5
KICMANIK,5
KICZAN,5
KIEBICZ,5
KIEDAS,5
KIEJKOWSKA,5
KIEKIERZ,5
KIELBASA,5
KIELI,5
KIELIM,5
KIELMANOWICZ,5
KIEMNIC,5
KIENDYCH,5
KIENDZIORA,5
KIENOROW,5
KIEPKA,5
KIERDAN,5
KIERDOL,5
KIERMASCH,5
KIERNOZ,5
KIERSTEN,5
KIERSZULIS,5
KIERYŁOWSKA,5
KIESKIEWICZ,5
KIESSLING,5
KIESZONKOWSKA,5
KIESZTYN,5
KIETERLING,5
KIEŁDYSZ,5
KIEŻA,5
KIEẞLING,5
KIHN,5
KIIAK,5
KIJ-KIJOWIECKA,5
KIJOR,5
KIKH,5
KIKOSZYCKA,5
KIKTENKO,5
KIKUCHI,5
KILANI,5
KILAS,5
KILASONIA,5
KILDIUSZKINA,5
KILIJAŃCZUK,5
KILIMANN,5
KILOWSKA,5
KIMELSKA,5
KIMLICZKO,5
KIMMRITZ,5
KIMSEWICZ,5
KINCHAK,5
KINDRACHUK,5
KINDRASZ,5
KINDRATIV,5
KINDRATSKA,5
KINIG,5
KINNEY,5
KINSMAN,5
KIPEN,5
KIPERMAN,5
KIPPING,5
KIRASHCHUK,5
KIRCHRATH,5
KIRCHSTEIN,5
KIREEVA,5
KIREI,5
KIRIANOVA,5
KIRIUKHINA,5
KIRIŁOW,5
KIRSCHANEK,5
KIRSZANEK,5
KIRSZENSZTEJN,5
KIRYLEJZA,5
KISEK,5
KISHORE,5
KISIOŁ,5
KISLING,5
KISOW,5
KISTECZEK,5
KISZKAN,5
KISZKIEL-MAKIEWICZ,5
KISZKIELIS,5
KISZYNIEW,5
KITLITZ,5
KITNER,5
KITOWSKI,5
KITS,5
KIVRAK,5
KIWICKA,5
KIZIMOWICZ,5
KIZLO,5
KIZOŃ,5
KIĘPA,5
KIŃDZIER,5
KIŃSKI,5
KIŚLACZUK,5
KIŻYS,5
KJAER,5
KLABINSKA,5
KLACHKO,5
KLACHTA,5
KLADKO,5
KLAJNBORD,5
KLANIECKA,5
KLANKERT,5
KLARE,5
KLARO,5
KLARYS,5
KLASSON,5
KLASZTORNY,5
KLASZYK,5
KLATZEK,5
KLAUSS,5
KLAUZNICER,5
KLAWOŃ,5
KLEBE,5
KLEBUC,5
KLEEN,5
KLEGER-RUDOMIN,5
KLEIGE,5
KLEINGARTNER,5
KLEINHANS,5
KLEINMAN,5
KLEJMUNT,5
KLEJNERT,5
KLEJNHAUS,5
KLEJNIAK,5
KLEJNSZMIDT,5
KLEJST,5
KLEMANTOWICZ,5
KLEMENCZYC,5
KLEMENSIAK,5
KLENC,5
KLENOT,5
KLENOWICZ,5
KLEPACH,5
KLEPANDO,5
KLEPIANOWSKA,5
KLEPKOWSKA,5
KLESINSKA,5
KLESSEN,5
KLEWCOW,5
KLEY,5
KLEYN,5
KLEYNY,5
KLICZA,5
KLIEMT,5
KLIEWER,5
KLIKA,5
KLIKAJSKA,5
KLIKCZYŃSKA,5
KLIMANTOVICH,5
KLIMASZEWICZ,5
KLIMEK-NOWAK,5
KLIMES,5
KLIMEŃSKA,5
KLIMIKIEWICZ,5
KLINE,5
KLINGBAJL,5
KLINGEMANN,5
KLINGSPORT,5
KLINOWIECKA,5
KLIUCHNIK,5
KLIWISON,5
KLIX,5
KLOCKA,5
KLODDA,5
KLONK,5
KLOPOTT,5
KLOPOWICZ,5
KLOSINSKA,5
KLOSKOWSKA-SZULFER,5
KLOSOWSKI,5
KLOSTER,5
KLOSZ,5
KLOTH,5
KLOTSCHKE,5
KLOTZER,5
KLOWCZYŃSKA,5
KLUBKOWSKI,5
KLUBÓW,5
KLUCIŃSKA,5
KLUGHARDT,5
KLUSARCZYK,5
KLYAROVSKA,5
KLYMOVETS,5
KLYMUK,5
KLYSH,5
KLYUS,5
KLÓCH,5
KLÖCKNER,5
KLÜBER,5
KLĄBKA,5
KLĄFAS,5
KLĘCZ,5
KMENT,5
KMIDOWSKA,5
KMONICZEK,5
KNAPEN,5
KNAUP,5
KNECIŃSKA,5
KNERCER,5
KNES,5
KNIAZIOŁUCKA,5
KNIAŻYŃSKA,5
KNICHALSKA,5
KNIEJEWSKA,5
KNIESZNER,5
KNIGA-LEOSZ,5
KNIGHTS,5
KNIJ,5
KNIPP,5
KNIPPELBERG,5
KNISKA,5
KNISKI,5
KNISZKA,5
KNIŃSKA,5
KNOCHE,5
KNOSOWSKA,5
KNUTSSON,5
KNYAZEVA,5
KNYR,5
KNYSHUK,5
KNYSZEK,5
KNYSZKO,5
KOBAT,5
KOBELIATSKA,5
KOBELIUKH,5
KOBELKA,5
KOBIELSKI,5
KOBIERACKA,5
KOBIERSKI,5
KOBLENC,5
KOBRYNIEC,5
KOBRYNOVYCH,5
KOBUSEK,5
